mean model rmse: 3.2427
model_number, naive_rmse, smoothed_rmse, internal_rmse
0,4.391480031231221,3.6262177759716567,2.6987039771855788
1,4.922125370618199,4.074844562268908,2.8483856982314624
2,4.554907292931338,3.765980393192129,2.7220680180403054
3,4.369844344061777,3.705368758460968,2.7270314841759333
4,5.33343986225941,4.676396759407149,2.667536720703358
5,4.916085164540085,3.744919805384578,3.3663225101903103
6,4.439475999788503,3.4700301589454923,2.7210817107510814
7,4.79039100725618,4.003702199549354,2.725391173325302
6,4.439475999788503,3.821011439303628,3.3379984997247822
7,4.79039100725618,3.9888826514660503,3.1970018807771123
8,4.537865603586865,3.667492643153487,2.896331942486721
9,4.401242017999992,3.6713030523064027,2.7588826960287642
10,4.54944578352199,3.570542876612008,2.9227400449352547
11,5.274604151689345,4.109523974687412,3.3829772807076943
12,4.466403613519592,4.827203125991336,4.165912514174792
13,4.577113814617144,3.7870196302009296,2.7865752834144297
14,4.357567156883656,6.278319503793001,5.0064924987264146
15,4.555113441631676,3.815619530588838,2.8079228046196922
16,4.839920214407885,4.521976700007566,4.506691483817933
17,4.651327236291092,3.7872447192399274,2.9570533786539754
18,4.624684372876519,3.640517540795609,3.023017597096554
19,4.851208426275585,3.9196547209954105,3.0332596382735795
20,4.343285280665144,6.0406829209937545,5.300959344978577
23,4.537726647257203,3.7315640044732694,2.8536824754051433
24,4.25274440670142,3.623769871208476,2.428749499835835
25,4.585402542084173,3.5601629902059653,2.95432221194306
26,4.649506412594202,3.767361800019611,2.933995032140912
27,5.877017884407514,4.922199134730897,3.603646424872814
